textual_id,longitude,latitude,content
object_190787,NULL,NULL,Gmünd
object_190776,NULL,NULL,Hall
object_190791,NULL,NULL,Mergentheim
object_190796,NULL,NULL,Neresheim
object_190759,NULL,NULL,Öhringen
object_190793,NULL,NULL,Künzelsau
object_190786,NULL,NULL,Oberndorf
object_190732,NULL,NULL,Reutlingen
object_190737,NULL,NULL,Rottenburg
object_190754,NULL,NULL,Nagold
object_190755,NULL,NULL,Calw
object_190775,NULL,NULL,Neuenbürg
object_306575,NULL,NULL,Horb
object_190757,NULL,NULL,Welzheim
object_190792,NULL,NULL,Backnang
object_190794,NULL,NULL,Balingen
object_190728,NULL,NULL,Besigheim
object_190736,NULL,NULL,Blaubeuren
object_190789,NULL,NULL,Brackenheim
object_306569,NULL,NULL,Böblingen
object_306574,NULL,NULL,Freudenstadt
object_190744,NULL,NULL,Göppingen
object_190748,NULL,NULL,Heidenheim
object_190766,NULL,NULL,Herrenberg
object_190741,NULL,NULL,Kirchheim
object_306576,NULL,NULL,Leonberg
object_190752,NULL,NULL,Ludwigsburg
object_190772,NULL,NULL,Marbach
object_190785,NULL,NULL,Maulbronn
object_190731,NULL,NULL,Münsingen
object_190767,NULL,NULL,Nürtingen
object_190778,NULL,NULL,Schorndorf
object_190777,NULL,NULL,"Oberamt Stuttgart"
object_190763,NULL,NULL,Sulz
object_190774,NULL,NULL,Tübingen
object_190797,NULL,NULL,Tuttlingen
object_190738,NULL,NULL,Urach
object_190770,NULL,NULL,Vaihingen
object_190773,NULL,NULL,Waiblingen
object_190747,NULL,NULL,Eßlingen
object_190768,NULL,NULL,Heilbronn
object_190798,NULL,NULL,Neckarsulm
object_190758,NULL,NULL,Weinsberg
object_190734,NULL,NULL,Saulgau
object_190735,NULL,NULL,Riedlingen
object_190739,NULL,NULL,Biberach
object_190743,NULL,NULL,Ravensburg
object_190746,NULL,NULL,Waldsee
object_190740,NULL,NULL,Wangen
object_190742,NULL,NULL,Ulm
object_190750,NULL,NULL,Leutkirch
object_190733,NULL,NULL,Ehingen
object_190749,NULL,NULL,Geislingen
object_190771,NULL,NULL,Laupheim
object_190795,NULL,NULL,Rottweil
object_190790,NULL,NULL,Spaichingen
adm_146036,NULL,NULL,Schmalkalden
adm_146036,NULL,NULL,"Herrschaft Schmalkalden"
adm_136412,NULL,NULL,"Frankfurt am Main"
object_1268912,NULL,NULL,Hamburg
object_305681,NULL,NULL,Pyrmont
object_305680,NULL,NULL,"Kreis der Eder"
object_305678,NULL,NULL,"Kreis der Twiste"
object_305679,NULL,NULL,"Kreis des Eisenberges"
adm_140043,NULL,NULL,Neunkirchen
adm_140046,NULL,NULL,"Sankt Wendel"
object_289942,NULL,NULL,Merzig
object_279986,NULL,NULL,Homburg
object_280014,NULL,NULL,"Sankt Ingbert"
adm_140044,NULL,NULL,Saarlouis
object_289940,NULL,NULL,Saarbrücken
CH_adm0600,NULL,NULL,Obwalden
CH_adm0700,NULL,NULL,Nidwalden
CH_adm0400,NULL,NULL,Uri
CH_adm0800,NULL,NULL,Glarus
CH_adm2401,NULL,NULL,"District de Boudry"
CH_adm2402,NULL,NULL,"District de La Chaux-de-Fonds"
CH_adm2403,NULL,NULL,"District du Locle"
CH_adm2405,NULL,NULL,"District du Val-de-Ruz"
CH_adm2406,NULL,NULL,"District du Val-de-Travers"
CH_adm2404,NULL,NULL,Neuenburg
CH_adm0501,NULL,NULL,Einsiedeln
CH_adm0502,NULL,NULL,Gersau
CH_adm0503,NULL,NULL,Höfe
CH_adm0504,NULL,NULL,Küssnacht
CH_adm0505,NULL,NULL,March
CH_adm0506,NULL,NULL,Schwyz
CH_adm2005,NULL,NULL,Kreuzlingen
CH_adm2001,NULL,NULL,Arbon
CH_adm2002,NULL,NULL,Bischofszell
CH_adm2008,NULL,NULL,Weinfelden
CH_adm2003,NULL,NULL,Diessenhofen
CH_adm2004,NULL,NULL,Frauenfeld
CH_adm2007,NULL,NULL,Steckborn
CH_adm2006,NULL,NULL,Münchwilen
CH_adm0101,NULL,NULL,Affoltern
CH_adm0104,NULL,NULL,Dielsdorf
CH_adm0107,NULL,NULL,Meilen
CH_adm0103,NULL,NULL,Bülach
CH_adm0106,NULL,NULL,Horgen
CH_adm0111,NULL,NULL,Dietikon
CH_adm0112,NULL,NULL,Zürich
CH_adm0109,NULL,NULL,Uster
CH_adm0108,NULL,NULL,Pfäffikon
CH_adm0105,NULL,NULL,Hinwil
CH_adm0102,NULL,NULL,Andelfingen
CH_adm0110,NULL,NULL,Winterthur
CH_adm1802,NULL,NULL,"Distretto di Bernina"
CH_adm1809,NULL,NULL,"Distretto di Moesa"
CH_adm1805,NULL,NULL,Hinterrhein
CH_adm1804,NULL,NULL,Heinzenberg
CH_adm1806,NULL,NULL,Imboden
CH_adm1807,NULL,NULL,Inn
CH_adm1808,NULL,NULL,Maloja
CH_adm1811,NULL,NULL,Oberlandquart
CH_adm1812,NULL,NULL,Plessur
CH_adm1810,NULL,NULL,"Val Müstair"
CH_adm1814,NULL,NULL,Vorderrhein
CH_adm1803,NULL,NULL,Glenner
CH_adm1801,NULL,NULL,Albula
CH_adm1813,NULL,NULL,Unterlandquart
