object_1049776	Litzmannstadt-Land
object_1049777	Welun
adm_146036	Schmalkalden
adm_146036	Herrschaft Schmalkalden
adm_136412	Frankfurt am Main
object_1268912	Hamburg
object_305681	Pyrmont
object_305680	Kreis der Eder
object_305678	Kreis der Twiste
object_305679	Kreis des Eisenberges
adm_140043	Neunkirchen
adm_140046	Sankt Wendel
object_289942	Merzig
object_279986	Homburg
object_280014	Sankt Ingbert
adm_140044	Saarlouis
object_289940	Saarbrücken
object_215349	Wien
object_267011	Gebweiler
object_267013	Rappoltsweiler
object_267012	Mülhausen
object_267009	Altkirch
object_267014	Thann
object_267010	Kolmar
object_278570	Hagenau
object_278575	Zabern
object_278578	Schlettstadt
object_266454	Straßburg-Stadt
object_278581	Weißenburg
object_266453	Straßburg-Land
LANDAUJN49BE	Landau in der Pfalz
LANDAUJN49BE	Landau
object_280410	Markt Eisenstein
object_284336	Prachatitz
adm_160600	Bergreichenstein
object_378786	Eggenfelden
object_386999	Dingolfing
object_386995	Bogen
object_386946	Grafenau
object_379527	Griesbach im Rottal
adm_139273	Kelheim
object_395282	Kötzting
adm_139271	Deggendorf
object_389338	Landau an der Isar
adm_139274	Landshut
object_395283	Mallersdorf
adm_139275	Passau
object_379468	Pfarrkirchen
adm_139276	Regen
object_395285	Rottenburg
object_395286	Mainburg
object_354108	Straubing
object_395288	Viechtach
object_381884	Vilsbiburg
object_385228	Vilshofen
object_379413	Wegscheid
object_379018	Wolfstein
adm_139561	Ansbach
adm_139561	Onolzbach
adm_139561	Anspach
adm_139561	Onoldisbach
adm_139561	Onolsbach
adm_139561	Onsbach
adm_139565	Schwabach
adm_139278	Straubing-Bogen
adm_139188	Starnberg
adm_139187	Rosenheim
adm_139173	Tölz
adm_139173	Bad Tölz
adm_139180	Garmisch
adm_139189	Traunstein
adm_139186	Pfaffenhofen an der Ilm
object_386981	Aichach
object_386985	Berchtesgaden
adm_139179	Fürstenfeldbruck
adm_139179	Bruck
adm_139174	Dachau
adm_139175	Ebersberg
adm_139177	Erding
adm_139178	Freising
object_387898	Friedberg
adm_139181	Landsberg am Lech
adm_139182	Miesbach
object_387899	Laufen
adm_139183	Mühldorf am Inn
object_387952	München links der Isar
object_387953	München rechts der Isar
object_387896	Bad Aibling
object_396979	Schongau
object_397115	Wasserburg am Inn
object_387954	München II
object_397172	Wolfratshausen
adm_139184	München
adm_139184	München I
object_397282	Schrobenhausen
adm_139171	Altötting
adm_139176	Eichstätt
object_1184110	Weilheim in Oberbayern
object_381067	Ingolstadt
adm_139462	Bayreuth
adm_139461	Bamberg
adm_139464	Hof
adm_139474	Forchheim
adm_139478	Lichtenfels
adm_139479	Wunsiedel im Fichtelgebirge
adm_139476	Kronach
adm_139471	Bamberg II
adm_139472	Bayreuth
