# comment line	
# # # # # special cases	
Sachsen-Anh.	Sachsen-Anhalt
Sachsen-A.	Sachsen-Anhalt
S.-A.	Sachsen-Anhalt
Sa.-Meiningen	Sachsen-Meiningen
S.-Meiningen	Sachsen-Meiningen
S.-M.	Sachsen-Meiningen
Sachsen M.	Sachsen-Meiningen
Sachsen-Mein.	Sachsen-Meiningen
Sachsen Mein.	Sachsen-Meiningen
Sa.-M.	Sachsen-Meiningen
S. M.	Sachsen-Meiningen
S. Weimar E.	Sachsen-Weimar-Eisenach
S.-Weimar-E.	Sachsen-Weimar-Eisenach
S.-W.-E.	Sachsen-Weimar-Eisenach
Saalkr.	Saalekreis
Saalkrs.	Saalekreis
Süd. Dithm.	Süderdithmarschen
Sondersh.	Sondershausen
Sondershaus.	Sondershausen
Sond.	Sondershausen
S. Dithmarschen	Süderdithmarschen
Sd.-Dithm.	Süderdithmarschen
Süderdithmarsch.	Süderdithmarschen
Schaumburg-L.	Schaumburg-Lippe
Sch.-Lippe	Schaumburg-Lippe
Schlesw.	Schleswig
Strel.	Strelitz
Schw.	Schwerin
Schwer.	Schwerin
Schwäb.	Schwäbisch
Stork.	Storkow
	
Thr.	Thüringen
Thür.	Thüringen
	
Ung.	Ungarn
U. Westerwald	Unterwesterwald
	
Vogtl.	Vogtland
Vgtl.	Vogtland
Vgtld.	Vogtland
Voigtl.	Vogtland
	
Weim.	Weimar
Weimar-E.	Weimar-Eisenach
Westf.	Westfalen
Wttbg.	Württemberg
Württbg.	Württemberg
Württ.	Württemberg
Württb.	Württemberg
Württemb.	Württemberg
Württg.	Württemberg
	
# # # # # later expansions (partly needed due to expansion order being top-down)	
Anh.	Anhalt
Cob.	Coburg
C.-G.	Coburg-Gotha
Dresden-A.	Dresden
Dithm.	Dithmarschen
Eis.	Eisenach
Eisen.	Eisenach
Frd.	Friedrich
Loth.	Lothringen
Mein.	Meiningen
Mecklburg	Mecklenburg
Ndr.	Nieder
Nd.	Nieder
O. Schlesien	Oberschlesien
O.-Schlesien	Oberschlesien
O. Preußen	Ostpreußen
O. Preußisch	Ostpreußen
Schleswig-H.	Schleswig-Holstein
Sachsen-Coburg-Gotha	Sachsen-Coburg und Gotha
Unt.	Unter
	
# # # # # word end expansions	
bad.	baden
bay.	bayern
dithm.	ditschmarschen
els.	elsaß
fal.	falen
friesl.	friesland
frsld.	friesland
geb.	gebirge
hsn.	hausen
havell.	havelland
krs.	kreis
kirch.	kirchen
preuß.	preußen
pom.	pommern
pomm.	pommern
prov.	provinz
rußl.	russland
starße	straße
str.	straße
schles.	schlesien
westerw.	westerwald
erw.	erwald
	
# # # # # common other abbreviations	
 v. d. 	 vor der 
 bei 	, 
 b.	, 
 i.	, 
 a. d. 	 an der 
 a. 	 am 
 j. L.	 Jüngere Linie
 ä. L.	 Ältere Linie
 j.	 Jüngere
 ä.	 Ältere
 wohnh.	 
 d.	 
 v.	 
	
# # # # # river name corrections	
Alsette	Alzette
Alzett	Alzette
Alzetta	Alzette
Brz.	Brenz
Elz.	Elsenz
Katzb.	Katzbach
Kätzbach	Katzbach
Lde.	Lumda
Mos.	Mosel
Pers.	Persante
Pensante	Persante
Quaich	Queich
Steig	Steige
Steiger	Steige
Unstr.	Unstrut
Wes.	Weser
Wolza	Wolga
Wartge	Warthe
Waldnab	Waldnaab
